course, description, section, crn, slot, daysOfWeek, startTime, endTime, location
CMST2000,Critical Apprch to Pop Cult ,001,84862,3,MWF,1000,1050,SN3060,
CMST2001,Intro to Communication Theo ,001,81976,11,MW,1030,1145,C3053,
CMST2100,Intro to Game Studies ,001,99868,23,TR,1230,1345,SN2064,
CMST3001,Media and Urban Life ,001,96560,13,MW,1400,1515,ED4008,
CMST3816,Television ,056,93109,31,T,1900,2130,A3018,
CMST4000,Advanced Communications The ,001,98462,20,TR,1530,1645,A3017,
CMST4002,Media and the Environment ,001,99870,12,MW,1230,1345,A1045,
CMST4402,Producing the Documentary ,001,88773,18,TR,1030,1145,A3020,
CLAS1001,CRW: Classics in Pop Cultur ,001,88775,5,MWF,1200,1250,A1049,
CLAS1052,Heroes in Classical Mytholo ,001,90371,4,MWF,1100,1150,A1046,
CLAS1121,Introductory Latin II ,001,99832,7,MWF,1400,1450,A1049,
CLAS1131,Intro Ancient Greek II ,001,81582,F02,MTWF,0900,0950,A1049,
CLAS2902,Greek and Roman Environment ,001,99834,3,MWF,1000,1050,A2071,
CLAS3200,Advanced Latin ,001,88445,6,MTR,1300,1350,A2073,
CLAS3270,Christianity & Roman Empire ,001,99835,18,TR,1030,1145,A1046,
CLAS4000,Seminar in Greek Hist/Socie ,001,99866,19,TR,1400,1515,A2073,
CLAS4225,Latin Epistolography ,001,99839,6,MTR,1300,1350,A2073,
BUSI1000,Intro to Business in Societ ,001,96652,11,MW,1030,1145,BN3007,
BUSI1000,Intro to Business in Societ ,002,99778,0,F,0930,1200,BN3007,
BUSI1000,Intro to Business in Societ ,056,99776,30,M,1900,2130,BN3007,
BUSI2011,Business Writing ,001,99782,10,MW,0900,1015,BN2015,
BUSI2011,Business Writing ,002,99784,11,MW,1030,1145,BN2015,
BUSI2011,Business Writing ,003,99780,17,TR,0900,1015,BN3008,
BUSI2012,Business Professionalism ,001,99793,0,MWR,1230,1345,BN3007,
BUSI2012,Business Professionalism ,002,99796,19,TR,1400,1515,BN1010,
BUSI2111,Intro Financial Accounting ,001,98048,23,TR,1230,1345,BN2028,
BUSI2112,Intro Management Account ,001,98051,14,MW,1530,1645,BN3007,
BUSI2112,Intro Management Account ,002,98499,20,TR,1530,1645,BN2028,
BUSI2112,Intro Management Account ,056,99798,30,M,1900,2130,BN2028,
BUSI2205,Intro to Marketing ,001,99801,17,TR,0900,1015,BN3007,
BUSI2205,Intro to Marketing ,002,99803,18,TR,1030,1145,BN3007,
BUSI2205,Intro to Marketing ,003,99807,13,MW,1400,1515,BN2028,
BUSI2400,Decision Modeling ,001,77377,14,MW,1530,1645,BN2028,
BUSI2600,Entrepren Think/Behaviour ,001,98055,10,MW,0900,1015,BN3008,
BUSI2600,Entrepren Think/Behaviour ,002,98057,11,MW,1030,1145,BN3008,
BUSI2600,Entrepren Think/Behaviour ,003,99809,19,TR,1400,1515,BN2015,
BUSI2600,Entrepren Think/Behaviour ,056,98059,G25,MW,1730,1845,BN2015,
BUSI2710,Modeling & Impl Busi Proces ,001,77387,17,TR,0900,1015,BN1010,
